date,date,date,date,date,date,OT,OT,OT
4.11716,4.13088,45.56516,4159.5203,0.98224,45.19999,5.985588,1.992884229,0
4.15639,4.17049,45.6714,4156.30819,0.96942,45.2036,5.88771264,1.960296727,0
4.19559,4.21008,45.77605,4153.14773,0.95451,45.20725,5.792869525,1.928718988,0
4.23476,4.24964,45.87888,4150.0379,0.93757,45.21093,5.70113794,1.898177225,0
4.2739,4.28918,45.9797,4146.97765,0.91867,45.21465,5.612583579,1.868693309,0
4.313,4.32869,46.07828,4143.96586,0.89787,45.21841,5.52726023,1.840285149,0
4.35208,4.36818,46.17444,4141.00137,0.87523,45.2222,5.445210884,1.81296706,0
4.39112,4.40765,46.26798,4138.083,0.85083,45.22603,5.3664688,1.786750113,0
4.43013,4.44709,46.35872,4135.20954,0.82473,45.2299,5.291058529,1.761642483,0
4.46912,4.48651,46.44649,4132.37972,0.797,45.23381,5.218996904,1.737649776,0
4.50807,4.5259,46.53111,4129.59229,0.76771,45.23775,5.150293969,1.714775334,0
4.547,4.56528,46.61243,4126.84594,0.73693,45.24173,5.084953864,1.693020537,0
4.58589,4.60463,46.69029,4124.13937,0.70472,45.24575,5.022975657,1.672385074,0
4.62476,4.64396,46.76456,4121.47126,0.67117,45.24981,4.964354123,1.652867205,0
4.6636,4.68328,46.83508,4118.84025,0.63633,45.25391,4.909080467,1.634464003,0
4.70241,4.72257,46.90174,4116.24499,0.60027,45.25805,4.857142997,1.617171574,0
4.7412,4.76184,46.96442,4113.68413,0.56308,45.26222,4.808527749,1.600985269,0
4.77996,4.80109,47.02299,4111.15629,0.5248,45.26644,4.763219053,1.585899871,0
4.81869,4.84033,47.07735,4108.66007,0.48552,45.27069,4.721200062,1.571909771,0
4.85739,4.87954,47.1274,4106.1941,0.4453,45.27498,4.682453222,1.559009124,0
4.89607,4.91874,47.17306,4103.75697,0.40421,45.27932,4.646960709,1.547191995,0
4.93473,4.95792,47.21423,4101.34726,0.36232,45.28369,4.614704815,1.536452489,0
4.97335,4.99708,47.25084,4098.96357,0.3197,45.2881,4.585668298,1.526784866,0
5.01196,5.03622,47.28282,4096.60446,0.27641,45.29255,4.559834692,1.518183642,0
5.05051,5.07538,47.30793,4094.27343,0.19182,45.37524,4.538591428,1.51111076,54.99999906
5.08898,5.11457,47.32394,4091.97298,0.10692,45.45771,4.523295842,1.506018139,54.99999906
5.12737,5.15379,47.33083,4089.70025,0.02177,45.54007,4.513893774,1.502887748,54.99999906
5.16569,5.19305,47.32859,4087.45234,-0.06357,45.6224,4.510350483,1.501708019,54.99999906
5.20393,5.23235,47.31722,4085.22637,-0.14901,45.70482,4.512649229,1.50247338,54.99999906
5.24209,5.27168,47.29672,4083.01944,-0.23448,45.78742,4.520791154,1.50518421,54.99999906
5.28018,5.31105,47.2671,4080.82863,-0.31992,45.8703,4.5347952,1.509846816,54.99999906
5.31819,5.35046,47.22837,4078.65099,-0.40526,45.95357,4.554698066,1.516473418,54.99999906
5.35612,5.3899,47.18056,4076.48352,-0.49041,46.03733,4.580554199,1.525082142,54.99999906
5.39397,5.42939,47.12371,4074.32318,-0.57531,46.12168,4.612435813,1.535697032,54.99999906
5.43175,5.4689,47.05785,4072.16687,-0.65989,46.20673,4.65043294,1.548348064,54.99999906
5.46944,5.50846,46.98303,4070.01141,-0.74406,46.29258,4.694653503,1.563071172,54.99999906
5.50706,5.54805,46.89931,4067.85355,-0.82776,46.37935,4.745223397,1.57990827,54.99999906
5.5446,5.58769,46.80676,4065.68996,-0.9109,46.46714,4.802286592,1.598907294,54.99999906
