date,date,date,date,date,date,OT
5.18797,7.70575,44.68034,4249.43384,-0.67064,68.55606,54.999999061801
5.20871,7.75895,44.60326,4246.05996,-0.71555,68.67988,54.999999061801
5.22932,7.81216,44.52128,4242.66317,-0.7598,68.80495,54.999999061801
5.2498,7.86537,44.43451,4239.24055,-0.80332,68.93138,54.999999061801
5.27015,7.91858,44.34301,4235.78912,-0.84605,69.05926,54.999999061801
5.29036,7.9718,44.24691,4232.30587,-0.88791,69.18868,54.999999061801
5.31044,8.02502,44.14629,4228.78774,-0.92885,69.31974,54.999999061801
5.33037,8.07825,44.04129,4225.23163,-0.96879,69.45254,54.999999061801
5.35016,8.13148,43.93202,4221.63438,-1.00767,69.58719,54.999999061801
5.36982,8.18471,43.81861,4217.99282,-1.04542,69.72377,54.999999061801
5.38932,8.23795,43.70119,4214.30371,-1.08197,69.86241,54.999999061801
5.40869,8.29119,43.57992,4210.56379,-1.11726,70.00319,54.999999061801
5.4279,8.34443,43.45494,4206.76976,-1.15121,70.14622,54.999999061801
5.44696,8.39767,43.32642,4202.91828,-1.18375,70.29162,54.999999061801
5.46587,8.45092,43.19452,4199.00601,-1.21481,70.43947,54.999999061801
5.48463,8.50416,43.05941,4195.02957,-1.24432,70.58991,54.999999061801
5.50322,8.55741,42.92129,4190.98556,-1.27222,70.74302,54.999999061801
5.52173,8.61063,42.78458,4186.86166,-1.22067,70.74942,0
5.54021,8.66381,42.65381,4182.64898,-1.1661,70.75584,0
5.55867,8.71694,42.52932,4178.34966,-1.10863,70.76227,0
5.5771,8.77002,42.41138,4173.9662,-1.04838,70.76872,0
5.59551,8.82305,42.3003,4169.50154,-0.98551,70.77517,0
5.61389,8.87603,42.19633,4164.95899,-0.92017,70.78164,0
5.63225,8.92895,42.09972,4160.34227,-0.85253,70.78812,0
5.65058,8.98182,42.0107,4155.65545,-0.78277,70.7946,0
5.66888,9.03464,41.92946,4150.90297,-0.71111,70.8011,0
5.68716,9.0874,41.8562,4146.08961,-0.63775,70.80761,0
5.70542,9.14011,41.79107,4141.22043,-0.56292,70.81413,0
5.72364,9.19275,41.73418,4136.30079,-0.48685,70.82066,0
5.74184,9.24534,41.68566,4131.33626,-0.40978,70.82719,0
5.76001,9.29787,41.64556,4126.33265,-0.33196,70.83374,0
5.77815,9.35034,41.61395,4121.2959,-0.25363,70.8403,0
5.79626,9.40275,41.59083,4116.23209,-0.17507,70.84686,0
5.81435,9.4551,41.57621,4111.14738,-0.09652,70.85343,0
5.83241,9.50739,41.57004,4106.04796,-0.01825,70.86001,0
5.85044,9.55962,41.57226,4100.94002,0.0595,70.8666,0
5.86844,9.61179,41.58278,4095.82971,0.13647,70.8732,0
5.88641,9.6639,41.60148,4090.72309,0.21242,70.87981,0
5.90435,9.71594,41.62823,4085.62608,0.2871,70.88642,0
5.92227,9.76792,41.66284,4080.54445,0.36028,70.89305,0
5.94015,9.81984,41.70514,4075.48379,0.43175,70.89968,0
