date,date1,date2,date3,date4,date5,OT1,OT2,OT3
0.04991,0.04991,50.54718,5271.84052,-0.45325,45.0001,7.688448630297512,2.864149410044251,0.0
0.09978,0.09978,50.48792,5267.63814,-0.40568,45.00025,7.740441737326506,2.8835182104335297,0.0
0.14961,0.14961,50.43532,5263.39654,-0.3574,45.00044,7.7853699253058695,2.9002551425876146,0.0
0.1994,0.1994,50.38945,5259.11956,-0.30853,45.00068,7.8230304882170145,2.914284693181064,0.0
0.24915,0.24915,50.35038,5254.81118,-0.2592,45.00097,7.853258246050299,2.9255453283141373,0.0
0.29886,0.29887,50.31815,5250.47549,-0.20951,45.00131,7.875927352597821,2.9339901669631803,0.0
0.34853,0.34854,50.29279,5246.11666,-0.1596,45.00169,7.890952651493061,2.9395874861410642,0.0
0.39815,0.39817,50.27431,5241.73893,-0.10959,45.00211,7.898290554390197,2.9423210480420927,0.0
0.44774,0.44776,50.26271,5237.34659,-0.0596,45.00258,7.8979394249412955,2.9421902430836044,0.0
0.49728,0.49731,50.25796,5232.94396,-0.00977,45.0031,7.889939462579003,2.939210046611973,0.0
0.54678,0.54682,50.26002,5228.53534,0.03979,45.00366,7.874372090557391,2.9334107909317124,0.0
0.59624,0.59629,50.26883,5224.12502,0.08894,45.00427,7.851358862954151,2.9248377581350455,0.0
0.64566,0.64571,50.28432,5219.71722,0.13757,45.00493,7.821059915101205,2.913550602846525,0.0
0.69503,0.6951,50.30639,5215.31611,0.18556,45.00563,7.783671990851048,2.899622617327849,0.0
0.74436,0.74445,50.33495,5210.92578,0.2328,45.00637,7.739426087905611,2.8831398543009024,0.0
0.79365,0.79375,50.36987,5206.55017,0.27916,45.00716,7.688584769058318,2.864200125314678,0.0
0.8429,0.84302,50.41101,5202.19315,0.32455,45.008,7.631439192254652,2.842911894364694,0.0
0.8921,0.89224,50.45822,5197.85839,0.36886,45.00888,7.568305915988673,2.8193930878191447,0.0
0.94127,0.94142,50.51134,5193.54944,0.412,45.00981,7.499523538517803,2.793769842437974,0.0
0.99039,0.99057,50.57019,5189.26967,0.45387,45.01078,7.425449229815937,2.7661752134341677,0.0
1.03946,1.03967,50.63459,5185.02225,0.49438,45.0118,7.346455214139335,2.7367478641369907,0.0
1.0885,1.08874,50.70434,5180.8102,0.53347,45.01286,7.262925258696509,2.7056307579291374,0.0
1.13749,1.13776,50.77923,5176.63629,0.57105,45.01397,7.1752512203101,2.6729698717874153,0.0
1.18645,1.18675,50.85905,5172.50314,0.60705,45.01513,7.083829697429654,2.638912949069412,0.0
1.23536,1.2357,50.94356,5168.41313,0.64143,45.01633,6.989058829502749,2.6036083071950307,0.0
1.28423,1.28462,51.03255,5164.36844,0.67411,45.01758,6.891335279805328,2.5672037136714003,0.0
1.33306,1.33349,51.12576,5160.37104,0.70507,45.01888,6.791051431632757,2.529845341600269,0.0
1.38185,1.38233,51.22297,5156.4227,0.73425,45.02022,6.6885928213817625,2.49167681343349,0.0
1.43061,1.43113,51.32391,5152.52498,0.76162,45.02161,6.5843358257515945,2.4528383393946025,0.0
1.47932,1.4799,51.42835,5148.67926,0.78715,45.02305,6.4786456142364885,2.4134659547283963,0.0
1.528,1.52863,51.53602,5144.88669,0.81082,45.02453,6.371874372365639,2.3736908578110545,0.0
1.57663,1.57733,51.64668,5141.14827,0.83262,45.02606,6.264359795935103,2.33363884921192,0.0
1.62523,1.626,51.76006,5137.46479,0.85253,45.02764,6.156423851808324,2.293429870059084,0.0
1.6738,1.67463,51.87591,5133.83688,0.87055,45.02927,6.048371796789817,2.2531776365440184,0.0
1.72232,1.72322,51.99398,5130.265,0.88667,45.03094,5.940491442712622,2.212989366147314,0.0
1.77081,1.77179,52.114,5126.74946,0.90091,45.03267,5.833052653080438,2.172965590124637,0.0
1.81927,1.82033,52.23572,5123.29042,0.91326,45.03444,5.72630705448265,2.133200046001226,0.0
1.86769,1.86883,52.35889,5119.8879,0.92375,45.03626,5.62048794450394,2.0937796432658042,0.0
1.91607,1.91731,52.48326,5116.5418,0.93238,45.03813,5.515810376827652,2.0547844950738203,0.0
1.96442,1.96575,52.60858,5113.25188,0.93919,45.04005,5.412471403798128,2.016288008608301,0.0
2.01274,2.01417,52.73461,5110.0178,0.94418,45.04202,5.310650456646818,1.9783570267240809,0.0
2.06102,2.06255,52.86112,5106.83913,0.94739,45.04404,5.210509843968568,1.941052013643337,0.0
2.10928,2.11091,52.98785,5103.71534,0.94885,45.04611,5.112195349654056,1.9044272777011508,0.0
2.1575,2.15925,53.11459,5100.6458,0.94859,45.04823,5.0158369124380915,1.8685312244951333,0.0
2.20569,2.20755,53.24111,5097.62982,0.94664,45.0504,4.921549370301987,1.8334066341948922,0.0
2.25384,2.25583,53.36717,5094.66664,0.94304,45.05262,4.829433254244938,1.7990909572427587,0.0
2.30197,2.30409,53.49258,5091.75542,0.93781,45.05489,4.739575617261077,1.7656166231695485,0.0
2.35007,2.35232,53.61712,5088.8953,0.93102,45.05721,4.65205088576525,1.733011357773068,0.0
2.39813,2.40053,53.74058,5086.08535,0.92268,45.05959,4.5669217221122675,1.701298504429231,0.0
2.44617,2.44871,53.86276,5083.32459,0.91285,45.06201,4.484239888224778,1.6704973458161616,0.0
2.49418,2.49687,53.98347,5080.61201,0.90156,45.06449,4.404047101730131,1.6406234228477046,0.0
2.54216,2.54501,54.10252,5077.94658,0.88885,45.06701,4.326375877239622,1.6116888480720777,0.0
2.59012,2.59313,54.21973,5075.32724,0.87478,45.06959,4.25125034664074,1.5837026112523203,0.0
2.63802,2.64124,54.33335,5072.75572,0.83576,45.12529,4.179613350608353,1.5570159453474504,47.999999181208274
2.68585,2.68938,54.44167,5070.23298,0.79588,45.18019,4.112324316243129,1.5319490095653554,47.999999181208274
2.73362,2.73755,54.54459,5067.75684,0.75518,45.23436,4.049265486593762,1.5084579363433017,47.999999181208274
2.78131,2.78574,54.64202,5065.32518,0.71371,45.28784,3.99032713671694,1.486501850252869,47.999999181208274
2.82894,2.83395,54.73385,5062.9359,0.67151,45.34069,3.935405104362715,1.4660419481152782,47.999999181208274
2.8765,2.88218,54.82,5060.58697,0.62863,45.39295,3.884400963450975,1.4470415636259404,47.999999181208274
2.924,2.93044,54.90039,5058.27638,0.58513,45.44467,3.837222161264613,1.4294662184625253,47.999999181208274
2.97143,2.97871,54.97494,5056.00219,0.54103,45.49589,3.793782124737535,1.4132836618800388,47.999999181208274
3.01879,3.02702,55.04359,5053.76246,0.49638,45.54667,3.754000340625963,1.3984639005767423,47.999999181208274
3.06609,3.07534,55.10627,5051.5553,0.45123,45.59705,3.7178024138885,1.3849792204422642,47.999999181208274
3.11333,3.12369,55.16292,5049.37886,0.40561,45.64708,3.685120108115288,1.3728042016185236,47.999999181208274
3.16051,3.17206,55.21349,5047.23129,0.35956,45.69679,3.6558913714078742,1.3619157281406646,47.999999181208274
3.20762,3.22045,55.25793,5045.11079,0.31314,45.74622,3.6300603507105857,1.3522929932758658,47.999999181208274
3.25468,3.26886,55.29619,5043.01557,0.26636,45.79543,3.6075773972127805,1.343917501535824,47.999999181208274
3.30167,3.3173,55.32825,5040.94384,0.21928,45.84446,3.5883990650987085,1.3367730682110448,47.999999181208274
3.3486,3.36576,55.35406,5038.89385,0.17192,45.89334,3.572488105581137,1.3308458171482085,47.999999181208274
3.39547,3.41424,55.3736,5036.86384,0.12434,45.94211,3.559813457874647,1.3261241773874892,47.999999181208274
3.44228,3.46274,55.38684,5034.85206,0.07656,45.99082,3.5503502384472747,1.3225988791585046,47.999999181208274
3.48904,3.51127,55.39378,5032.85677,0.02861,46.03951,3.5440797296678332,1.3202629496511469,47.999999181208274
3.53573,3.55982,55.39438,5030.87623,-0.01945,46.08821,3.540989368655512,1.3191117088617654,47.999999181208274
3.58236,3.60839,55.38865,5028.90868,-0.0676,46.13697,3.5410727369564876,1.3191427657474306,47.999999181208274
3.62893,3.65699,55.37658,5026.95238,-0.11579,46.18583,3.5443295513770723,1.3203560148110434,47.999999181208274
3.67545,3.70561,55.35817,5025.00554,-0.164,46.23482,3.55076565613115,1.322753633176045,47.999999181208274
3.7219,3.75425,55.33343,5023.0664,-0.21219,46.28399,3.560393016188853,1.326340078108628,47.999999181208274
3.7683,3.80292,55.30237,5021.13315,-0.26032,46.33338,3.5732297115046996,1.331122084867562,47.999999181208274
3.81463,3.85161,55.265,5019.20398,-0.30834,46.38303,3.589299931581801,1.3371086646792203,47.999999181208274
3.86091,3.90033,55.22134,5017.27704,-0.35624,46.43299,3.6086339695689214,1.3443111025385783,47.999999181208274
3.90712,3.94907,55.17143,5015.35045,-0.40395,46.48328,3.6312682148722724,1.3527429544569127,47.999999181208274
3.95328,3.99784,55.11528,5013.42232,-0.45146,46.53396,3.65724514297722,1.3624200436701197,47.999999181208274
3.99937,4.04663,55.05293,5011.49071,-0.49872,46.58507,3.686613300938564,1.373360455233462,47.999999181208274
4.0454,4.09545,54.98443,5009.55363,-0.54569,46.63665,3.719427286684946,1.3855845283119164,47.999999181208274
4.09137,4.14429,54.90981,5007.60908,-0.59234,46.68875,3.755747720001605,1.3991148453704871,47.999999181208274
4.13728,4.19316,54.82914,5005.65497,-0.63861,46.74142,3.7956412027135915,1.4139762173414054,47.999999181208274
4.18313,4.24205,54.74246,5003.68921,-0.68447,46.79469,3.839180265268413,1.430195663724758,47.999999181208274
4.22891,4.29097,54.64984,5001.70962,-0.72988,46.84862,3.88644329651683,1.4478023864299885,47.999999181208274
4.27463,4.33992,54.55134,4999.71398,-0.7748,46.90325,3.9375144531401123,1.4668277360351651,47.999999181208274
4.32028,4.3889,54.44704,4997.70001,-0.81918,46.95864,3.9924835447027323,1.4873051689660857,47.999999181208274
4.36587,4.4379,54.33701,4995.66535,-0.86297,47.01484,4.051445889906211,1.5092701939470534,47.999999181208274
4.41139,4.48693,54.22135,4993.60761,-0.90613,47.07189,4.114502139132259,1.5327603058935253,47.999999181208274
4.45684,4.53599,54.10013,4991.5243,-0.94862,47.12986,4.181758057867294,1.55781490523205,47.999999181208274
4.50222,4.58508,53.97346,4989.41287,-0.99038,47.1888,4.253324265111589,1.5844752004507905,47.999999181208274
4.54754,4.6342,53.84145,4987.27068,-1.03136,47.24876,4.329315920318945,1.6127840914763145,47.999999181208274
4.59278,4.68335,53.70419,4985.09503,-1.07152,47.3098,4.4098523519087065,1.6427860312845488,47.999999181208274
4.63795,4.73253,53.56182,4982.88313,-1.1108,47.37199,4.495056619837341,1.6745268629471788,47.999999181208274
4.68305,4.78175,53.41444,4980.63211,-1.14914,47.43539,4.5850550041961995,1.7080536291208621,47.999999181208274
4.72807,4.83099,53.2622,4978.33901,-1.18649,47.50005,4.67997641129319,1.7434143507970237,47.999999181208274
4.77302,4.88027,53.10524,4976.00079,-1.2228,47.56606,4.77995168822711,1.7806577719627597,47.999999181208274
4.81789,4.92958,52.94369,4973.61431,-1.258,47.63346,4.885112836540147,1.819833066665705,47.999999181208274
4.86267,4.97892,52.77771,4971.17637,-1.29204,47.70233,4.995592115199572,1.860989504851111,47.999999181208274
4.90738,5.02829,52.60746,4968.68364,-1.32485,47.77275,5.111521022980366,1.904176073272598,47.999999181208274
4.95201,5.07771,52.43312,4966.13273,-1.35637,47.84479,5.233029150187557,1.9494410477285162,47.999999181208274
4.99654,5.12715,52.25487,4963.52015,-1.38654,47.91851,5.3602428897935335,1.99683151292668,47.999999181208274
5.041,5.17663,52.07288,4960.84234,-1.41529,47.99401,5.493283998356545,2.046392826388644,47.999999181208274
5.08536,5.22615,51.88735,4958.09563,-1.44255,48.07134,5.63226799766112,2.0981680230187063,47.999999181208274
5.12963,5.27571,51.69849,4955.27629,-1.46825,48.15061,5.7773024088977465,2.152197157289377,47.999999181208274
5.17381,5.3253,51.50651,4952.38051,-1.49233,48.23188,5.928484812436422,2.2085165804559743,47.999999181208274
5.21789,5.37494,51.31164,4949.40441,-1.51471,48.31524,6.085900727906399,2.2671581508305514,47.999999181208274
5.26187,5.42461,51.1141,4946.34405,-1.53532,48.40078,6.2496213114272745,2.3281483759398878,47.999999181208274
5.30575,5.47432,50.91414,4943.19544,-1.55408,48.48858,6.41970086945985,2.3915074863695214,47.999999181208274
5.34953,5.52407,50.712,4939.95453,-1.57093,48.57873,6.596174192035104,2.457248442321373,47.999999181208274
5.39319,5.57387,50.50795,4936.61726,-1.58579,48.67131,6.7790537119089755,2.5253758753241553,47.999999181208274
5.43675,5.62371,50.30225,4933.17953,-1.59858,48.76642,6.968326500787818,2.595884969248321,47.999999181208274
5.4802,5.67359,50.09518,4929.63725,-1.60923,48.86413,7.163951118920816,2.6687602866963447,47.999999181208274
5.52353,5.72351,49.88703,4925.98634,-1.61766,48.96454,7.3658543403125645,2.743974549058248,47.999999181208274
5.56674,5.77348,49.6781,4922.22275,-1.62381,49.06773,7.573927782364284,2.821487380964266,47.999999181208274
5.60983,5.82349,49.46869,4918.34248,-1.6276,49.17379,7.78802447594604,2.901244032546509,47.999999181208274
5.65279,5.87356,49.25912,4914.34163,-1.62896,49.2828,8.007955419707745,2.983174095829144,47.999999181208274
5.69562,5.92366,49.0497,4910.21635,-1.62783,49.39485,8.233486170528801,3.067190234581178,47.999999181208274
5.73831,5.97382,48.84078,4905.96297,-1.62413,49.51001,8.464333530492032,3.153186950127079,47.999999181208274
5.78087,6.02402,48.63267,4901.57794,-1.61781,49.62835,8.700162399107887,3.2410394087174623,47.999999181208274
5.82329,6.07428,48.42574,4897.05792,-1.60881,49.74995,8.940582867779716,3.330602359140965,47.999999181208274
5.86556,6.12458,48.22033,4892.39978,-1.59708,49.87487,9.185147640981661,3.4217091720451505,47.999999181208274
5.90768,6.17494,48.0168,4887.60064,-1.58257,50.00318,9.433349875293649,3.514171034920189,47.999999181208274
5.94965,6.22534,47.8155,4882.65792,-1.56523,50.13492,9.684621532572294,3.6077763386116857,47.999999181208274
5.99146,6.2758,47.61681,4877.56934,-1.54504,50.27014,9.93833234691399,3.702290292487254,47.999999181208274
6.0331,6.32631,47.42109,4872.33303,-1.52196,50.40888,10.193789505974227,3.797454805719574,47.999999181208274
6.07458,6.37688,47.2287,4866.94746,-1.49597,50.55117,10.450238145409148,3.8929886714788826,47.999999181208274
6.11589,6.4275,47.04003,4861.41157,-1.46707,50.69703,10.70686275003279,3.9885880889009115,47.999999181208274
6.15702,6.47817,46.85544,4855.72477,-1.43525,50.84647,10.962789546439954,4.083927554401863,47.999999181208274
6.19798,6.5289,46.67529,4849.88697,-1.40053,50.99947,11.217089959097384,4.178661149163308,47.999999181208274
6.23875,6.57968,46.49994,4843.8986,-1.36292,51.15604,11.468785184954621,4.272424243295092,47.999999181208274
6.27933,6.63052,46.32976,4837.76068,-1.32246,51.31613,11.716851920463316,4.364835629300715,47.999999181208274
