date,date,date,date,date,date,OT,OT,OT
1.17147,1.17182,53.85956,4932.35048,-1.21026,45.01869,4.568109,1.701741,0.0
1.215758,1.216146,53.710328,4930.191974,-1.222591,45.020039,4.660968,1.736333,0.0
1.260028,1.260454,53.559756,4927.986337,-1.233445,45.021433,4.756518,1.771928,0.0
1.304271,1.304744,53.408021,4925.731802,-1.242756,45.022872,4.854716,1.808509,0.0
1.348495,1.349023,53.255318,4923.426609,-1.250503,45.024364,4.955506,1.846056,0.0
1.392702,1.393279,53.101842,4921.069036,-1.256624,45.025887,5.058822,1.884544,0.0
1.436883,1.437515,52.947797,4918.657373,-1.261093,45.027459,5.164583,1.923943,0.0
1.481044,1.481733,52.793392,4916.189964,-1.263861,45.029078,5.272696,1.964218,0.0
1.525181,1.525933,52.638834,4913.66518,-1.264898,45.030736,5.383051,2.005328,0.0
1.569296,1.570109,52.484343,4911.081453,-1.264165,45.032435,5.495524,2.047227,0.0
1.613384,1.614269,52.330129,4908.437275,-1.261626,45.034175,5.609977,2.089864,0.0
1.657449,1.65841,52.17642,4905.731203,-1.257247,45.035959,5.726251,2.133179,0.0
1.701492,1.702524,52.023445,4902.961883,-1.251,45.037789,5.844173,2.177108,0.0
1.745507,1.746619,51.871423,4900.12805,-1.242865,45.039656,5.96355,2.221579,0.0
1.789501,1.790695,51.720592,4897.228529,-1.232809,45.041561,6.084172,2.266514,0.0
1.833466,1.834743,51.571189,4894.262262,-1.220823,45.043509,6.20581,2.311828,0.0
1.877398,1.878776,51.42345,4891.228311,-1.206888,45.045495,6.328217,2.357427,0.0
1.921309,1.922776,51.2776,4888.125863,-1.190991,45.047525,6.451127,2.403215,0.0
1.965187,1.966757,51.133891,4884.954264,-1.173122,45.049591,6.574256,2.449083,0.0
2.009045,2.010711,50.992546,4881.712996,-1.153283,45.051702,6.697301,2.494921,0.0
2.052868,2.054647,50.853811,4878.401666,-1.131471,45.053849,6.819945,2.540609,0.0
2.096652,2.098546,50.718096,4875.016295,-1.107599,45.056034,6.941789,2.585999,0.0
2.140409,2.142426,50.585477,4871.560754,-1.081784,45.058255,7.062504,2.630969,0.0
2.18414,2.186272,50.456199,4868.035291,-1.054032,45.06052,7.181724,2.675381,0.0
2.227835,2.230097,50.330479,4864.440335,-1.024394,45.062815,7.299072,2.719096,0.0
2.271495,2.273889,50.20855,4860.776538,-0.99289,45.065151,7.414161,2.76197,0.0
2.315125,2.317653,50.090616,4857.044749,-0.959566,45.067525,7.5266,2.803856,0.0
2.358722,2.361389,49.976898,4853.246045,-0.924458,45.069929,7.635989,2.844607,0.0
2.402277,2.405093,49.867601,4849.381733,-0.887625,45.072372,7.741929,2.884072,0.0
2.445798,2.448766,49.762916,4845.453329,-0.84913,45.074849,7.844021,2.922104,0.0
2.489272,2.492426,49.662141,4841.464173,-0.823201,45.119736,7.942884,2.958933,18.472992
2.53266,2.536101,49.563928,4837.418299,-0.808668,45.203436,8.039905,2.995076,36.999999
2.575945,2.579802,49.46761,4833.31775,-0.792928,45.28822,8.135739,3.030777,36.999999
2.61913,2.623534,49.373329,4829.16292,-0.775997,45.374082,8.230156,3.06595,36.999999
2.662217,2.667299,49.28123,4824.954331,-0.757897,45.461004,8.32292,3.100507,36.999999
2.705202,2.711091,49.191434,4820.692649,-0.738653,45.548973,8.413793,3.134359,36.999999
2.748079,2.754912,49.104089,4816.378655,-0.718288,45.637973,8.502536,3.167418,36.999999
2.790848,2.798765,49.019319,4812.013267,-0.696823,45.727984,8.588908,3.199594,36.999999
2.833509,2.84264,48.937238,4807.597539,-0.6743,45.818975,8.67267,3.230798,36.999999
2.876062,2.886559,48.857989,4803.132668,-0.650754,45.910926,8.753587,3.260941,36.999999
2.918507,2.930495,48.781668,4798.619913,-0.626225,46.003815,8.831421,3.289937,36.999999
2.960838,2.974469,48.708564,4794.058342,-0.6007,46.097652,8.905754,3.317628,36.999999
3.003052,3.018471,48.638619,4789.452176,-0.574275,46.192354,8.976535,3.343995,36.999999
3.045157,3.062499,48.571926,4784.80314,-0.54701,46.287894,9.043551,3.368961,36.999999
3.087147,3.106562,48.508587,4780.113073,-0.518956,46.384223,9.106601,3.392449,36.999999
3.129027,3.150654,48.448681,4775.383938,-0.490163,46.481305,9.165495,3.414388,36.999999
3.170785,3.194773,48.392277,4770.617813,-0.460684,46.5791,9.220053,3.434712,36.999999
3.21243,3.238925,48.339458,4765.816876,-0.430581,46.677563,9.270111,3.45336,36.999999
3.253955,3.283108,48.290289,4760.983399,-0.399918,46.776654,9.315519,3.470276,36.999999
3.295365,3.327317,48.244813,4756.119742,-0.368758,46.876324,9.356142,3.485409,36.999999
3.336657,3.371553,48.203081,4751.228356,-0.337166,46.976521,9.391863,3.498716,36.999999
3.377828,3.415821,48.165137,4746.311759,-0.305208,47.077196,9.422582,3.51016,36.999999
3.418877,3.460117,48.131012,4741.372527,-0.272955,47.178297,9.448218,3.51971,36.999999
3.459805,3.504438,48.100728,4736.413305,-0.240469,47.279776,9.468708,3.527343,36.999999
3.500615,3.548792,48.074299,4731.436772,-0.207823,47.381586,9.484009,3.533043,36.999999
3.541305,3.593172,48.05173,4726.44564,-0.175096,47.483666,9.494098,3.536801,36.999999
3.581872,3.63758,48.03302,4721.442645,-0.142351,47.585961,9.498972,3.538617,36.999999
3.62232,3.682017,48.018161,4716.430555,-0.109663,47.688426,9.498645,3.538495,36.999999
3.662642,3.726487,48.007139,4711.412115,-0.0771,47.791002,9.493156,3.53645,36.999999
3.702839,3.770976,47.999914,4706.390071,-0.044739,47.893637,9.482558,3.532502,36.999999
3.742918,3.815492,47.996465,4701.367179,-0.012649,47.996282,9.466917,3.526676,36.999999
3.782875,3.860036,47.996944,4696.346393,0.01909,48.09887,9.446075,3.518911,36.999999
3.822705,3.904607,48.001094,4691.330435,0.050406,48.201359,9.420415,3.509353,36.999999
3.862409,3.949197,48.008848,4686.321906,0.081249,48.303698,9.390068,3.498047,36.999999
3.901995,3.993821,48.020147,4681.323383,0.11155,48.405837,9.355176,3.485049,36.999999
3.941457,4.038466,48.034914,4676.337336,0.141243,48.507723,9.315899,3.470418,36.999999
3.9808,4.083135,48.053061,4671.366201,0.170266,48.609313,9.272409,3.454216,36.999999
4.020025,4.127832,48.074512,4666.412318,0.198566,48.710572,9.224888,3.436514,36.999999
4.059128,4.17255,48.099171,4661.477932,0.226081,48.811447,9.173531,3.417382,36.999999
4.09811,4.217291,48.126932,4656.565213,0.252763,48.9119,9.11854,3.396896,36.999999
4.136975,4.262055,48.157692,4651.676233,0.278565,49.011896,9.060127,3.375136,36.999999
4.175724,4.306841,48.191342,4646.812956,0.303435,49.111393,8.998509,3.352181,36.999999
4.214355,4.351649,48.227766,4641.977239,0.327331,49.21036,8.933908,3.328116,36.999999
4.252866,4.39648,48.266846,4637.170833,0.350211,49.30877,8.866552,3.303024,36.999999
4.291256,4.441334,48.308459,4632.395389,0.372035,49.406585,8.796667,3.27699,36.999999
4.329537,4.486209,48.352477,4627.652438,0.392769,49.503782,8.724487,3.250101,36.999999
4.367702,4.531107,48.39876,4622.943391,0.41238,49.600335,8.650239,3.222442,36.999999
4.405758,4.576016,48.44718,4618.269554,0.430835,49.696226,8.574156,3.194099,36.999999
4.443696,4.620952,48.4976,4613.63212,0.448118,49.791422,8.496463,3.165156,36.999999
4.481519,4.665906,48.549884,4609.032168,0.464202,49.885916,8.417387,3.135698,36.999999
4.519233,4.710878,48.603899,4604.470736,0.47907,49.979688,8.337145,3.105806,36.999999
4.556833,4.755878,48.659555,4599.950752,0.492628,50.072692,8.255921,3.075548,36.999999
4.594316,4.800887,48.716633,4595.470887,0.504936,50.16494,8.173984,3.045024,36.999999
4.6317,4.845923,48.77498,4591.031751,0.515985,50.256433,8.091541,3.014312,36.999999
4.668976,4.890969,48.83446,4586.633863,0.525773,50.347169,8.008788,2.983484,36.999999
4.706137,4.936039,48.89492,4582.277633,0.534287,50.437142,7.925915,2.952612,36.999999
4.743201,4.981123,48.95621,4577.963379,0.541523,50.526343,7.843105,2.921763,36.999999
4.780157,5.026221,49.018193,4573.691332,0.547494,50.614777,7.760534,2.891003,36.999999
4.817007,5.071338,49.080721,4569.461616,0.552193,50.702439,7.678369,2.860394,36.999999
4.853758,5.116473,49.143652,4565.274282,0.55563,50.789339,7.596769,2.829996,36.999999
4.890411,5.161626,49.206844,4561.129291,0.557811,50.875477,7.515885,2.799865,36.999999
4.926959,5.206797,49.270154,4557.026516,0.558746,50.96086,7.43586,2.770053,36.999999
4.963404,5.251982,49.333445,4552.965774,0.558452,51.0455,7.356828,2.740612,36.999999
4.999754,5.297179,49.396578,4548.946805,0.556938,51.129401,7.278918,2.711588,36.999999
5.03601,5.342394,49.459417,4544.969267,0.554218,51.212574,7.202247,2.683026,36.999999
5.072167,5.387625,49.521837,4541.032761,0.550314,51.295038,7.126926,2.654967,36.999999
5.108226,5.432867,49.583695,4537.136841,0.545245,51.376802,7.053059,2.62745,36.999999
5.144186,5.478127,49.644866,4533.280985,0.539026,51.457877,6.980742,2.60051,36.999999
5.180057,5.523403,49.705223,4529.464613,0.531679,51.538278,6.910064,2.574181,36.999999
5.215838,5.56869,49.764654,4525.687117,0.523243,51.618023,6.841107,2.548492,36.999999
5.251529,5.613994,49.823021,4521.947937,0.513714,51.697127,6.773951,2.523475,36.999999
5.287115,5.659308,49.880155,4518.248184,0.503087,51.775588,6.708764,2.499191,36.999999
5.322611,5.70464,49.935985,4514.585079,0.491434,51.853445,6.645512,2.475628,36.999999
5.358026,5.749989,49.990409,4510.957832,0.478788,51.930716,6.584253,2.452808,36.999999
5.393344,5.795349,50.043324,4507.365605,0.465185,52.007434,6.525039,2.430749,36.999999
5.428578,5.840718,50.094613,4503.807526,0.450635,52.083618,6.467915,2.409468,36.999999
5.463724,5.886103,50.144193,4500.282712,0.435182,52.159285,6.412924,2.388983,36.999999
5.49878,5.931506,50.19196,4496.790242,0.418851,52.234458,6.360104,2.369306,36.999999
5.533751,5.97692,50.237817,4493.329156,0.401676,52.309158,6.309488,2.35045,36.999999
5.568637,6.02235,50.281681,4489.898485,0.383691,52.383406,6.261107,2.332427,36.999999
5.603437,6.067787,50.323465,4486.497231,0.364919,52.457233,6.214987,2.315246,36.999999
5.638156,6.113238,50.36309,4483.124379,0.3454,52.530659,6.171153,2.298917,36.999999
5.672791,6.158708,50.400479,4479.778896,0.325169,52.603701,6.129626,2.283447,36.999999
5.707339,6.204186,50.435551,4476.459722,0.30425,52.676388,6.090422,2.268843,36.999999
5.741806,6.249677,50.468238,4473.165783,0.28268,52.748751,6.05356,2.25511,36.999999
5.776191,6.295183,50.498482,4469.895995,0.260499,52.820813,6.019053,2.242256,36.999999
5.810496,6.340699,50.52621,4466.649255,0.237739,52.892593,5.986912,2.230282,36.999999
5.84472,6.386225,50.551366,4463.424442,0.214427,52.964117,5.95715,2.219195,36.999999
5.878862,6.431767,50.573905,4460.220431,0.190598,53.03541,5.929774,2.208997,36.999999
5.912915,6.47732,50.593759,4457.036074,0.166303,53.106506,5.904792,2.199691,36.999999
5.946896,6.52289,50.610887,4453.87028,0.141556,53.177422,5.88222,2.191282,36.999999
5.9808,6.56847,50.625098,4450.722641,0.116374,53.248177,5.862182,2.183817,36.999999
6.014615,6.614068,50.636493,4447.591025,0.090831,53.318805,5.844556,2.177251,36.999999
6.048349,6.659675,50.645054,4444.474243,0.064954,53.389342,5.829347,2.171585,36.999999
6.082009,6.705291,50.650732,4441.37108,0.038775,53.459812,5.816558,2.166821,36.999999
6.11559,6.750924,50.653513,4438.280329,0.01233,53.530227,5.806194,2.16296,36.999999
6.14909,6.796568,50.653369,4435.200768,-0.014342,53.60063,5.798256,2.160003,36.999999
6.182509,6.84222,50.650278,4432.131175,-0.04121,53.671045,5.792748,2.157951,36.999999
6.215871,6.887876,50.645012,4429.068712,-0.054736,53.701136,5.78903,2.156566,14.915231
6.249193,6.933516,50.638674,4426.010306,-0.060424,53.707389,5.786196,2.15551,0.0
6.282484,6.979133,50.631709,4422.954645,-0.066245,53.713674,5.783876,2.154646,0.0
6.315748,7.024724,50.624097,4419.901486,-0.072193,53.71999,5.782078,2.153976,0.0
6.348986,7.070286,50.615831,4416.85058,-0.078259,53.726338,5.780812,2.153505,0.0
6.382196,7.115827,50.606907,4413.801672,-0.084428,53.732717,5.780086,2.153234,0.0
6.415379,7.161341,50.597306,4410.754499,-0.090699,53.739129,5.779908,2.153168,0.0
6.448535,7.20683,50.58702,4407.70879,-0.097055,53.74557,5.780284,2.153308,0.0
6.481665,7.2523,50.576046,4404.664264,-0.103483,53.752045,5.78122,2.153656,0.0
6.514765,7.297742,50.564371,4401.620659,-0.109982,53.758548,5.78272,2.154215,0.0
6.547832,7.343158,50.551992,4398.577677,-0.116541,53.765078,5.784791,2.154987,0.0
6.58088,7.388546,50.538903,4395.53503,-0.123136,53.771644,5.787434,2.155971,0.0
6.613892,7.433917,50.525099,4392.49242,-0.129776,53.778236,5.790655,2.157171,0.0
6.646875,7.47926,50.510549,4389.449535,-0.136435,53.784867,5.794484,2.158598,0.0
6.679831,7.524575,50.495278,4386.406048,-0.143104,53.791525,5.798891,2.16024,0.0
6.71276,7.569872,50.479295,4383.361679,-0.149781,53.79821,5.803878,2.162097,0.0
6.745663,7.615143,50.462594,4380.316099,-0.156443,53.804929,5.809444,2.164171,0.0
6.778538,7.660387,50.445188,4377.269015,-0.163088,53.811677,5.815586,2.166459,0.0
6.811386,7.705611,50.427072,4374.220109,-0.1697,53.81846,5.822304,2.168962,0.0
6.844201,7.750804,50.408253,4371.169071,-0.17627,53.825271,5.829594,2.171677,0.0
6.876992,7.795973,50.388737,4368.115596,-0.182789,53.83211,5.837453,2.174605,0.0
6.909754,7.841124,50.368534,4365.059361,-0.189243,53.838981,5.845876,2.177743,0.0
6.942489,7.886247,50.347647,4362.000059,-0.195626,53.845883,5.854858,2.181089,0.0
