date,date,date,date,date,date,OT,OT,OT
9.17394,7.79221,47.51564,3945.65274,0.30827,35.61754,6.610035,2.462412,0.0
9.214722,7.821802,47.545526,3942.081696,0.301392,35.624123,6.570402,2.447648,0.0
9.25546,7.851384,47.574675,3938.533115,0.293605,35.630734,6.531755,2.433251,0.0
9.296152,7.880941,47.602983,3935.00669,0.284927,35.637371,6.494157,2.419244,0.0
9.336808,7.910487,47.630373,3931.502061,0.275381,35.644035,6.457667,2.405651,0.0
9.377427,7.940009,47.656777,3928.018823,0.264994,35.650727,6.422343,2.392492,0.0
9.418011,7.969517,47.682097,3924.556548,0.253784,35.657445,6.388235,2.379786,0.0
9.458552,7.999004,47.706265,3921.114783,0.241774,35.66419,6.355395,2.367552,0.0
9.499054,8.028476,47.729203,3917.693022,0.228997,35.670969,6.323869,2.355808,0.0
9.539514,8.057928,47.750849,3914.290741,0.215474,35.677772,6.2937,2.344569,0.0
9.579935,8.087362,47.77113,3910.907394,0.201234,35.684603,6.26493,2.333851,0.0
9.620319,8.116784,47.789976,3907.542402,0.186309,35.691466,6.237595,2.323668,0.0
9.660668,8.146187,47.807327,3904.195153,0.170727,35.698352,6.211732,2.314034,0.0
9.70098,8.175572,47.823127,3900.865012,0.154518,35.705266,6.187373,2.304959,0.0
9.741254,8.204939,47.837319,3897.551331,0.137717,35.712217,6.164547,2.296456,0.0
9.781485,8.234291,47.849846,3894.253435,0.120347,35.719187,6.143283,2.288534,0.0
9.82168,8.263632,47.860664,3890.970616,0.10245,35.726187,6.123605,2.281204,0.0
9.861839,8.292955,47.869714,3887.702157,0.084047,35.733221,6.105538,2.274474,0.0
9.901962,8.322259,47.876968,3884.447315,0.06518,35.740283,6.089103,2.268351,0.0
9.942049,8.351546,47.882384,3881.205334,0.045883,35.747371,6.074317,2.262843,0.0
9.982099,8.380815,47.885908,3877.975454,0.02619,35.754486,6.061201,2.257957,0.0
10.022112,8.410074,47.88742,3874.757434,0.006117,35.76163,6.04986,2.253732,0.0
10.06208,8.439316,47.886987,3871.5498,-0.014271,35.76881,6.040218,2.25014,0.0
10.10202,8.468539,47.884577,3868.351719,-0.034956,35.776017,6.032285,2.247185,0.0
10.141917,8.497752,47.880179,3865.162366,-0.055891,35.783252,6.026072,2.24487,0.0
10.181784,8.526949,47.873762,3861.980879,-0.077046,35.790513,6.021586,2.243199,0.0
10.22161,8.556128,47.865313,3858.806391,-0.098376,35.797801,6.018835,2.242174,0.0
10.261398,8.585288,47.85483,3855.638022,-0.119848,35.805123,6.017823,2.241797,0.0
10.301155,8.614437,47.842296,3852.474889,-0.141425,35.812475,6.018554,2.24207,0.0
10.340875,8.643571,47.827706,3849.316085,-0.163075,35.819854,6.02103,2.242992,0.0
10.380555,8.672693,47.811064,3846.160703,-0.184758,35.827259,6.025252,2.244565,0.0
10.420203,8.7018,47.792365,3843.007828,-0.206437,35.834697,6.031218,2.246788,0.0
10.459816,8.73089,47.771614,3839.856534,-0.228074,35.842162,6.038928,2.249659,0.0
10.499387,8.759962,47.748827,3836.705891,-0.249632,35.849652,6.048375,2.253179,0.0
