dataset,0.4,res_1,patchtst,res_2,res_3
1,68.595562,66.669848,69.609642,68.802498,69.01614
2,66.290093,71.371855,78.939719,79.859481,80.570775
3,50.562912,50.542205,56.994507,50.542205,47.116298
4,18.738022,65.482617,78.429378,83.991811,83.724988
5,64.171056,62.402426,54.930429,61.93607,57.578226
6,69.226527,63.439722,68.046096,69.226527,67.610831
7,26.200442,-0.300215,57.468214,24.058353,40.902894
8,41.182605,43.158354,52.68082,43.15284,49.658138
9,42.58931,43.120735,46.838251,51.399211,55.158961
10,79.273882,76.006424,78.911192,81.224737,79.277461
11,43.324306,77.251198,78.207016,77.276387,75.978307
12,64.543967,59.19472,64.138516,63.246551,66.824514
13,61.010887,61.06847,64.033288,61.039441,60.35284
14,74.766337,68.806671,75.960962,75.559677,74.253366
15,44.25328,53.864977,54.225851,53.125353,53.61051
